Method,Accuracy
Autoencoder,0.0
Jitter 0.1,0.0
Jitter 0.2,0.06666666666666667
Jitter 0.05,0.0
TimeGAN GRU,0.03333333333333333
TimeGAN LSTM,0.03333333333333333
Timewarp,0.03333333333333333
