Close,Open,High,Low,Adj Close,Volume,Date
0.128348,0.128348,0.128906,0.128348,0.099058,469033600,1980-12-12
0.121652,0.12221,0.12221,0.121652,0.09389,175884800,1980-12-15
0.112723,0.113281,0.113281,0.112723,0.086999,105728000,1980-12-16
0.115513,0.115513,0.116071,0.115513,0.089152,86441600,1980-12-17
0.118862,0.118862,0.11942,0.118862,0.091737,73449600,1980-12-18
0.126116,0.126116,0.126674,0.126116,0.097335,48630400,1980-12-19
0.132254,0.132254,0.132813,0.132254,0.102072,37363200,1980-12-22
0.137835,0.137835,0.138393,0.137835,0.10638,46950400,1980-12-23
0.145089,0.145089,0.145647,0.145089,0.111978,48003200,1980-12-24
0.158482,0.158482,0.15904,0.158482,0.122315,55574400,1980-12-26
0.160714,0.160714,0.161272,0.160714,0.124038,93161600,1980-12-29
0.156808,0.157366,0.157366,0.156808,0.121023,68880000,1980-12-30
0.152344,0.152902,0.152902,0.152344,0.117578,35750400,1980-12-31
0.154018,0.154018,0.155134,0.154018,0.11887,21660800,1981-01-02
0.15067,0.151228,0.151228,0.15067,0.116286,35728000,1981-01-05
0.143973,0.144531,0.144531,0.143973,0.111117,45158400,1981-01-06
0.137835,0.138393,0.138393,0.137835,0.10638,55686400,1981-01-07
0.135045,0.135603,0.135603,0.135045,0.104226,39827200,1981-01-08
0.142299,0.142299,0.142857,0.142299,0.109825,21504000,1981-01-09
0.141183,0.142299,0.142299,0.141183,0.108964,23699200,1981-01-12
0.136161,0.136719,0.136719,0.136161,0.105088,23049600,1981-01-13
0.136719,0.136719,0.137277,0.136719,0.105518,14291200,1981-01-14
0.139509,0.139509,0.140625,0.139509,0.107672,14067200,1981-01-15
0.138393,0.138951,0.138951,0.138393,0.10681,13395200,1981-01-16
0.146763,0.146763,0.147321,0.146763,0.11327,41574400,1981-01-19
0.142299,0.142857,0.142857,0.142299,0.109825,30083200,1981-01-20
0.145089,0.145089,0.146205,0.145089,0.111978,15904000,1981-01-21
0.146763,0.146763,0.147879,0.146763,0.11327,35548800,1981-01-22
0.146205,0.146763,0.147321,0.146205,0.11284,11222400,1981-01-23
0.143973,0.144531,0.144531,0.143973,0.111117,24640000,1981-01-26
0.142857,0.143973,0.143973,0.142857,0.110256,23699200,1981-01-27
0.138393,0.138951,0.138951,0.138393,0.10681,28156800,1981-01-28
0.133371,0.133929,0.133929,0.133371,0.102934,43904000,1981-01-29
0.126116,0.127232,0.127232,0.126116,0.097335,46188800,1981-01-30
0.118862,0.11942,0.11942,0.118862,0.091737,23766400,1981-02-02
0.123326,0.123326,0.123884,0.123326,0.095182,19152000,1981-02-03
0.12779,0.12779,0.128348,0.12779,0.098627,27865600,1981-02-04
0.12779,0.12779,0.128906,0.12779,0.098627,7929600,1981-02-05
0.128348,0.128348,0.128906,0.128348,0.099058,13865600,1981-02-06
0.121652,0.122768,0.122768,0.121652,0.09389,16755200,1981-02-09
0.121652,0.121652,0.12221,0.121652,0.09389,18345600,1981-02-10
0.117746,0.118304,0.118304,0.117746,0.090875,13843200,1981-02-11
