Model,Metric,Error
baseline,MAE,286.55435791355563
baseline,MSE,177474.88435440883
baseline,MAE,316.5924497286324
baseline,MSE,207771.52508687798
baseline,MAE,334.5252620236716
baseline,MSE,235657.10143640294
baseline,MAE,296.89011081005447
baseline,MSE,189285.27042751785
baseline,MAE,322.18386304215534
baseline,MSE,215829.92369514448
baseline,MAE,287.68832322792156
baseline,MSE,182846.18641776918
baseline,MAE,287.8878381371033
baseline,MSE,179532.34394976447
baseline,MAE,282.5739315623651
baseline,MSE,174561.8758082584
baseline,MAE,343.6891031393316
baseline,MSE,244484.53837175327
baseline,MAE,321.82804252603097
baseline,MSE,216886.91960428955
TRTS,MAE,407.14006171219427
TRTS,MSE,318202.0487923586
TRTS,MAE,395.9020917577267
TRTS,MSE,307433.0929553332
TRTS,MAE,412.4454587067883
TRTS,MSE,325754.6215688249
TRTS,MAE,427.91952504623424
TRTS,MSE,347861.07664619363
TRTS,MAE,417.0238226382378
TRTS,MSE,331542.7339660357
TRTS,MAE,400.89690515064865
TRTS,MSE,310246.43789962446
TRTS,MAE,422.60728086033566
TRTS,MSE,331562.764304491
TRTS,MAE,408.329879156951
TRTS,MSE,320976.68200776685
TRTS,MAE,415.42547483658893
TRTS,MSE,328306.70666407445
TRTS,MAE,415.7339141068372
TRTS,MSE,327049.5207339218
TSTR,MAE,365.1149502076674
TSTR,MSE,281030.2310132328
TSTR,MAE,357.3387829175971
TSTR,MSE,276073.7627205339
TSTR,MAE,350.4819930695623
TSTR,MSE,266932.1335106299
TSTR,MAE,335.08734311837617
TSTR,MSE,246107.50876805562
TSTR,MAE,336.2969304866438
TSTR,MSE,250300.0394021972
TSTR,MAE,370.022019091598
TSTR,MSE,284796.1746068199
TSTR,MAE,365.4943111998194
TSTR,MSE,277113.5334872585
TSTR,MAE,377.6575674191273
TSTR,MSE,288919.69004408264
TSTR,MAE,364.1382360592247
TSTR,MSE,278796.4790354276
TSTR,MAE,358.58831167596315
TSTR,MSE,276185.27386549505
combined,MAE,276.43976029303474
combined,MSE,175010.25411382897
combined,MAE,270.5118189941574
combined,MSE,165041.43218206812
combined,MAE,284.36000910963503
combined,MSE,179390.9924098633
combined,MAE,268.018881977265
combined,MSE,165405.8893198225
combined,MAE,284.0893526173018
combined,MSE,176935.27772611412
combined,MAE,281.021966495598
combined,MSE,186744.19534180453
combined,MAE,280.0289512191541
combined,MSE,181133.6918737829
combined,MAE,281.9349676341138
combined,MSE,177928.71308236942
combined,MAE,393.6621625235088
combined,MSE,313727.71493413264
combined,MAE,295.109488851719
combined,MSE,190628.89023958775
