Model,Metric,Error
baseline,MAE,274.43864811793907
baseline,MSE,165508.7174362923
baseline,MAE,349.3896851385944
baseline,MSE,247603.71809397897
baseline,MAE,382.0382193673869
baseline,MSE,285871.7783445998
baseline,MAE,303.73617669683887
baseline,MSE,196819.83745201238
baseline,MAE,272.00276698102243
baseline,MSE,169964.0283793786
baseline,MAE,277.38186976523144
baseline,MSE,180474.1777161397
baseline,MAE,349.28606666740967
baseline,MSE,243141.11546385722
baseline,MAE,278.4639409102965
baseline,MSE,172630.49655345365
baseline,MAE,278.6799906485249
baseline,MSE,176153.3917747846
baseline,MAE,289.430169510888
baseline,MSE,193356.04594237456
TRTS,MAE,433.62260705665716
TRTS,MSE,384010.7146809977
TRTS,MAE,516.2600172489523
TRTS,MSE,508239.49718501384
TRTS,MAE,492.6907290142546
TRTS,MSE,482059.98820533464
TRTS,MAE,498.1501061753902
TRTS,MSE,516530.6697418869
TRTS,MAE,458.14178642112347
TRTS,MSE,416384.5534219482
TRTS,MAE,514.9725894724105
TRTS,MSE,473995.11422334914
TRTS,MAE,452.1023549297842
TRTS,MSE,411845.06869817094
TRTS,MAE,467.4237883654154
TRTS,MSE,395383.2250459933
TRTS,MAE,484.39968671403636
TRTS,MSE,499596.32823795284
TRTS,MAE,588.7546393447298
TRTS,MSE,513766.0158204166
TSTR,MAE,873.7217321926848
TSTR,MSE,1649506.0171373438
TSTR,MAE,1006.7294045415787
TSTR,MSE,1870518.910540867
TSTR,MAE,1086.2489487644702
TSTR,MSE,2641575.982962748
TSTR,MAE,928.0134615872473
TSTR,MSE,1846395.882568354
TSTR,MAE,932.7966924506173
TSTR,MSE,1937027.6127840623
TSTR,MAE,1012.5095202723619
TSTR,MSE,2354585.6660101023
TSTR,MAE,810.1764145303076
TSTR,MSE,1369086.6800723108
TSTR,MAE,907.0497818484247
TSTR,MSE,1502492.358633101
TSTR,MAE,945.5026545556444
TSTR,MSE,1711067.264105303
TSTR,MAE,843.9886988146237
TSTR,MSE,1465231.92345102
combined,MAE,304.0557866275777
combined,MSE,198457.69460935722
combined,MAE,338.7072234449443
combined,MSE,234783.79270560385
combined,MAE,422.92087775538687
combined,MSE,357269.4208663934
combined,MAE,375.1735264074524
combined,MSE,290049.3261347402
combined,MAE,391.13509237649856
combined,MSE,317074.15552459704
combined,MAE,425.331513559213
combined,MSE,351009.89066982595
combined,MAE,364.2381043930073
combined,MSE,265136.4105130774
combined,MAE,379.8013005999384
combined,MSE,286547.31359740644
combined,MAE,373.0604458402377
combined,MSE,265676.58402074035
combined,MAE,331.2013590114657
combined,MSE,219516.74798533696
